"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"prov:Used:1                          ","Class","Used","1.0","prov","Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)","prov","","","","","","","","","","",""
"prov:Used:2                           prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Used:2                           prov:entity1:1                       ","Attribute","entity1","n/a","prov","entity1: an entity identifier (e) -- The attribute entity1 is an OPTIONAL identifier for an entity.","prov","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasDerivedFromUsedUsed:1        ","Class","WasDerivedFromUsedUsed","1.0","prov","A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.","prov","","","","","","","","","","",""
"prov:WasDerivedFromUsedUsed:2         prov:generatedEntity:1               ","Attribute","generatedEntity","n/a","prov","generatedEntity: the identifier (e2) of the entity generated by the derivation","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasDerivedFromUsedUsed:2         prov:usedEntity:1                    ","Attribute","usedEntity","n/a","prov","usedEntity: the identifier (e1) of the entity used by the derivation","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasDerivedFromUsedUsed:2         prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasAttributedTo:1               ","Class","WasAttributedTo","1.0","prov","Attribution is the ascribing of an entity to an agent.","prov","","","","","","","","","","",""
"prov:WasAttributedTo:2                prov:entity1:1                       ","Attribute","entity1","n/a","prov","entity1: an entity identifier (e) -- The attribute entity1 is an OPTIONAL identifier for an entity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasAttributedTo:2                prov:agent1:1                        ","Attribute","agent1","n/a","prov"," agent1: the identifier (ag) of the agent whom the entity is ascribed to, and therefore bears some responsibility for its existence; The attribute agent1 is an OPTIONAL identifier for an agent.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasAssociatedWith:1             ","Class","WasAssociatedWith","1.0","prov","An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.","prov","","","","","","","","","","",""
"prov:WasAssociatedWith:2              prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasAssociatedWith:2              prov:agent1:1                        ","Attribute","agent1","n/a","prov"," agent1: the identifier (ag) of the agent whom the entity is ascribed to, and therefore bears some responsibility for its existence; The attribute agent1 is an OPTIONAL identifier for an agent.","prov","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasInformedBy:1                 ","Class","WasInformedBy","1.0","prov","An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.","prov","","","","","","","","","","",""
"prov:WasInformedBy:2                  prov:activity2:1                     ","Attribute","activity2","n/a","prov","activity2: an identifier (a) for the activity - The attribute activity2 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasInformedBy:2                  prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:ActedOnBehalfOf:1               ","Class","ActedOnBehalfOf","1.0","prov","An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.","prov","","","","","","","","","","",""
"prov:ActedOnBehalfOf:2                prov:agent2:1                        ","Attribute","agent2","n/a","prov"," agent2: the identifier (ag) of the agent whom the entity is ascribed to, and therefore bears some responsibility for its existence; The attribute agent2 is an OPTIONAL identifier for an agent.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:ActedOnBehalfOf:2                prov:agent1:1                        ","Attribute","agent1","n/a","prov"," agent1: the identifier (ag) of the agent whom the entity is ascribed to, and therefore bears some responsibility for its existence; The attribute agent1 is an OPTIONAL identifier for an agent.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:ActedOnBehalfOf:2                prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasStartedBy:1                  ","Class","WasStartedBy","1.0","prov","An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.","prov","","","","","","","","","","",""
"prov:WasStartedBy:2                   prov:activity2:1                     ","Attribute","activity2","n/a","prov","activity2: an identifier (a) for the activity - The attribute activity2 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasStartedBy:2                   prov:entity1:1                       ","Attribute","entity1","n/a","prov","entity1: an entity identifier (e) -- The attribute entity1 is an OPTIONAL identifier for an entity.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasStartedBy:2                   prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Attributes:1                    ","Class","Attributes","1.0","prov","Attributes: an OPTIONAL set (attrs) of attribute-value pairs representing additional information about this attribution.","prov","","","","","","","","","","",""
"prov:Attributes:2                     prov:attribute:1                     ","Attribute","attribute","n/a","prov","attribute: the attribute component of an OPTIONAL set (attrs) of attribute-value pairs representing additional information about this attribution.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Attributes:2                     prov:value:1                         ","Attribute","value","n/a","prov","value: the value component of an OPTIONAL set (attrs) of attribute-value pairs representing additional information about this attribution.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Person:1                        ","Class","Person","1.0","prov","The Person class describes","prov","","","","","","","","","","",""
"prov:Person:2                         prov:given_name:1                    ","Attribute","given_name","n/a","prov","The attribute given_name.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Person:2                         prov:family_name:1                   ","Attribute","family_name","n/a","prov","The attribute family_name.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Person:2                         prov:orcid:1                         ","Attribute","orcid","n/a","prov","The attribute orcid.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Organization:1                  ","Class","Organization","1.0","prov","The Organization class describes","prov","","","","","","","","","","",""
"prov:Organization:2                   prov:name:1                          ","Attribute","name","n/a","prov","The attribute name.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Organization:2                   prov:rorid:1                         ","Attribute","rorid","n/a","prov","The attribute rorid.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Software:1                      ","Class","Software","1.0","prov","The Software class describes ...","prov","","","","","","","","","","",""
"prov:Software:2                       prov:name:1                          ","Attribute","name","n/a","prov","The attribute name.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:External_Reference:1            ","Class","External_Reference","1.0","prov","The External_Reference class describes","prov","","","","","","","","","","",""
"prov:Affiliation:1                   ","Class","Affiliation","1.0","prov","The Affiliation class describes","prov","","","","","","","","","","",""
"prov:Affiliation:2                    prov:name:1                          ","Attribute","name","n/a","prov","The attribute name.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Affiliation:2                    prov:rorid:1                         ","Attribute","rorid","n/a","prov","The attribute rorid.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:SupersededLID:1                 ","Class","SupersededLID","1.0","prov","The Superseded LID LDD relates two LIDs, one that supersedes the other.","prov","","","","","","","","","","",""
"prov:SupersededLID:2                  prov:title:1                         ","Attribute","title","n/a","prov","The attribute title provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:SupersededLID:2                  prov:local_id:1                      ","Attribute","local_id","n/a","prov","The attribute local_identifier provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:SupersededLID:2                  prov:description:1                   ","Attribute","description","n/a","prov","The attribute description provides ","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
